title;genres;bpm;length;gain;rank;publicationDate;genres_1;genres_2;genres_3;genres_4;genres_5;genres_6;genres_7;key;year
Star Of Wonder;;137;225;-12.2;289947;07-01-2015;;;;;;;;;2015
God;Alternative rock;151;234;-13.1;290199;28-01-1994;;;;;;;;;1994
Comfort And Joy;;162;236;-13.7;290314;06-11-2009;;;;;;;;;2009
Moonlight In Vermont;;116;172;-19.5;290326;30-10-1995;;;;;;;;;1995
Winter;;157;343;-12.4;290327;17-11-2003;;;;;;;;;2003
The Electric Co.;Rock music;171;286;-11.9;290471;21-07-2008;Post-punk;;;;;;;;2008
Sing You Sinners;;87;136;-12.3;290546;01-01-1980;;;;;;;;;1980
Domino Dancing;Synthpop;110;249;-7.6;290547;21-08-2009;Freestyle music;;;;;;;Amin;2009
They're Playing Our Song;;123;335;-10.4;290554;20-04-2010;;;;;;;;Bbmaj;2010
Set 'Em Up Joe;Country music;119;146;-16.8;290702;31-08-1993;;;;;;;;Dmaj;1993
Tattoo;Hard rock;99;283;-6.6;290817;01-01-2012;;;;;;;;;2012
Linus And Lucy;;164;185;-14.2;290838;07-12-2010;;;;;;;;;2010
Dance The Night Away;Hard rock;130;267;-9.4;290861;27-03-2015;;;;;;;;;2015
What Child Is This;;122;249;-14.2;290862;29-10-2010;;;;;;;;;2010
Crucify;Alternative rock;166;299;-10.4;290913;17-11-2003;;;;;;;;;2003
There Goes My Baby;Country music;108;230;-8.9;291052;11-09-2007;;;;;;;;Cmaj;2007
New Age;;149;276;-10.5;291149;17-09-2001;;;;;;;;;2001
Harps Of Gold;;95;190;-12.2;291169;06-11-2009;;;;;;;;;2009
Crazy Arms;Country music;128.8;163;-13.2;291474;03-03-2009;;;;;;;;Gmaj;2009
Do You Hear What I Hear?;;144.1;262;-9.3;291708;21-11-2011;;;;;;;;Cmaj;2011
A Sorta Fairytale;Pop rock;153;330;-12.3;291713;18-12-2006;;;;;;;;;2006
Coney Island;Celtic music;132.938;123;-14.1;291746;28-01-2008;;;;;;;;;2008
The Song Remembers When;Country music;159;234;-11.4;291947;11-09-2007;;;;;;;;Fmaj;2007
Just Let Me Be In Love;Country music;96;226;-11.2;292015;25-02-2008;;;;;;;;Dmin;2008
Without A Song;;119.837;168;-17;292040;20-09-2001;;;;;;;;;2001
Big Rock Candy Mountain;;115;102;-22.2;292161;26-08-2011;;;;;;;;Emaj;2011
Please Stay;;97.5;223;-11.3;292229;12-11-2010;;;;;;;;;2010
Don't Love You;Art rock;99.9;332;-11.6;292310;07-06-2004;;;;;;;;;2004
Hey Mr. DJ;Rhythm and blues;104.403;229;-11.1;292371;22-10-2007;Blues;;;;;;;;2007
My Funny Valentine;;118.125;157;-19;292372;16-02-2011;;;;;;;;;2011
Fly Low Carrion Crow;Indie rock;94.8;236;-12.3;292420;24-09-2007;Lo-fi music;;;;;;;Gmin;2007
2 Hearts;Hard rock;115;313;-11;292732;15-02-2007;Neo-progressive rock;;;;;;;;2007
Summer Breeze;Soft rock;126;289;-11.8;292736;01-01-1997;Soul music;;;;;;;Amaj;1997
Dweller On The Threshold;Celtic music;102.336;289;-11.4;292772;22-10-2007;Jazz;;;;;;;;2007
How Insensitive;Bossa nova;109;263;-16.5;292777;14-10-1997;;;;;;;;;1997
Rags To Riches;;78;159;-12.4;292801;22-10-2012;;;;;;;;;2012
Obvious;Pop music;164;209;-10.7;293007;03-11-2003;;;;;;;;;2003
A Nightingale Sang In Berkeley Square;;101;175;-16.4;293034;30-10-2006;;;;;;;;;2006
Wie Wir Waren;Popmusik;119;220;-9;293057;16-03-2012;;;;;;;;Abmaj;2012
Wie Wir Waren (Demoversion);Popmusik;119;220;-9;293057;16-03-2012;;;;;;;;Abmaj;2012
They Don't Know;Pop music;113;179;-13.4;293127;01-06-2004;;;;;;;;;2004
Do Something To Me;Rock music;122;149;-8;293246;07-12-2009;;;;;;;;;2009
Sweet Little Jesus Boy;;113;162;-17.7;293309;13-09-1994;;;;;;;;Bbmaj;1994
Let It Snow Let It Snow Let It Snow;;137;146;;293309;13-09-1994;;;;;;;;Dmin;1994
The Christmas Song (Chestnuts Roasting On An Open Fire);Pop music;127;238;;293309;18-03-1999;Jazz;Christmas music;;;;;;Amin;1999
Rags To Riches;;117;158;-13.7;293334;01-01-1980;;;;;;;;;1980
The Best Is Yet To Come;Traditional pop music;132;218;-11.2;293430;22-10-2012;Jazz;;;;;;;;2012
The Good Life;Emo;136;257;-8.3;293439;24-09-1996;Power pop;Alternative rock;;;;;;;1996
Hark The Herald Angels Sing;;96;113;-12.1;293610;07-12-2010;;;;;;;;;2010
Cool Vibes;Gothic rock;126;182;-9.3;293747;18-12-2014;Hard rock;Pop rock;;;;;;;2014
Trembling Of The Rose;Indie rock;86.5;312;-14.5;293785;24-09-2007;Lo-fi music;;;;;;;Gmaj;2007
Shutterbug;;162;256;-8.2;293810;01-02-1997;;;;;;;;Dmin;1997
Strange Little Girl;;119;229;-12.6;293870;17-09-2001;;;;;;;;;2001
Dog Days Are Over;Art rock;149;213;-8.4;293960;01-07-2011;Indie rock;Soul music;Baroque pop;;;;;;2011
Poppy;Art rock;114.8;367;-9.6;294107;07-06-2004;;;;;;;;;2004
Fly Me To The Moon;Traditional pop music;118;150;-11;294132;08-11-2004;Bossa nova;;;;;;;;2004
Beautiful Girls;Hard rock;100;236;-8.4;294208;18-09-2009;;;;;;;;;2009
Diane Young;Indie rock;179.8;160;-8.5;294354;19-12-2014;;;;;;;;Dbmin;2014
Gimme Some Lovin';Blue-eyed soul;129;542;-14.9;294421;11-08-2008;;;;;;;;;2008
Do You Believe Me Now;Country music;144.6;215;-16.9;294439;31-08-1993;;;;;;;;Fmin;1993
I Don't Like Mondays;New wave music;110;260;-12.2;294522;17-09-2001;Baroque pop;;;;;;;;2001
The Keeper Of The Stars;Country music;153;256;-13.4;294562;20-11-2001;;;;;;;;Dbmaj;2001
Go West;Disco;124.5;217;-10.4;294565;01-10-2013;;;;;;;;;2013
Walkaway Joe;Country music;114;260;-13.7;294640;11-09-2007;;;;;;;;Cmaj;2007
I Saw Mommy Kissing Santa Claus;;142.1;219;-9.4;294697;01-01-2006;;;;;;;;Abmaj;2006
Everybody Wants Some!!;Hard rock;144;510;-10.7;294727;27-03-2015;;;;;;;;;2015
The Shadow Of Your Smile;;112;217;-16.9;294757;18-08-1997;;;;;;;;;1997
Smile;;112;217;-16.9;294757;18-08-1997;;;;;;;;;1997
Humpty Dumpty;;114;171;-14.9;294800;10-04-2015;;;;;;;;;2015
Bop Bop Baby;Pop music;118.1;262;-8.7;294813;12-11-2001;;;;;;;;;2001
When Love Comes To Town;Blues rock;115;252;-10.9;294900;07-10-2014;;;;;;;;;2014
Everybody Wants Some!!;Hard rock;143;308;-10.1;294978;18-09-2009;;;;;;;;;2009
All Gold Everything;Hip hop music;99.9;279;-11.4;295072;29-01-2013;;;;;;;;;2013
I'll Be Over You;Soft rock;174.446;149;-10.5;295086;0000-00-00;;;;;;;;;
Bottom Of Your Soul;Soft rock;189.65;424;-9.7;295086;0000-00-00;Progressive rock;World music;;;;;;;
Happy Trails;Folk music;95;65;-9;295118;01-01-1982;Country music;Theme music;;;;;;;1982
Old Devil Moon;Jazz;98.4;147;-12.3;295256;01-12-2008;;;;;;;;;2008
Last Night When We Were Young;;95;145;-16.3;295462;30-10-2006;;;;;;;;;2006
Burt Bacharach & Tony Middleton:My Little Red Book;Proto-punk;161;296;-12.9;295642;30-09-2016;Garage rock;;;;;;;;2016
Feelin' Alright?;Folk rock;190;258;-14.2;295758;28-10-2014;;;;;;;;;2014
Everyone;Rhythm and blues;105;212;-13.9;295847;18-10-2013;;;;;;;;;2013
Pop Ya Collar;Contemporary R&B;107;219;-10.4;295880;10-07-2001;;;;;;;;;2001
You Belong To Me;;108;182;-10.2;296004;21-11-2003;;;;;;;;;2003
Watermelon Crawl;Country music;136;181;-9.4;296168;05-03-2005;;;;;;;;Dmin;2005
Not Such An Innocent Girl;;202;199;-8.6;296276;28-09-2001;;;;;;;;Dbmin;2001
Where Have All The Good Times Gone!;Rock music;122.3;184;-8.1;296508;01-01-1982;;;;;;;;;1982
Look Of Love;Pop music;97;198;-14.6;296542;26-02-2007;Jazz;;;;;;;Amin;2007
Orange Blossom Special;Bluegrass music;145;337;-8.5;296571;10-01-2015;;;;;;;;;2015
I See It Now;Country music;91;216;-8.8;296574;18-10-2005;;;;;;;;Fmaj;2005
Ten Rounds With Jose Cuervo;Country music;126;182;-11.5;296666;25-02-2008;;;;;;;;Dmaj;2008
This Is Who I Am;Electropop;146;204;-5.8;296779;09-10-2009;Dance-pop;Pop rock;;;;;;Dmaj;2009
This Is Who I Am (Macho Psycho Euro Tech Remix);Electropop;146;204;-5.8;296779;09-10-2009;Dance-pop;Pop rock;;;;;;Dmaj;2009
T.B. Sheets;Rock music;173;574;-15.7;296783;16-08-2004;;;;;;;;;2004
Have Yourself A Merry Little Christmas;;132;182;-14.7;296795;24-08-2004;;;;;;;;;2004
Number One Blind;Grunge;104;223;-13;296812;11-10-1994;Alternative rock;;;;;;;;1994
Staring At The Sun;Alternative rock;140;288;-10.7;296861;31-10-2002;;;;;;;;;2002
Summertime In England;Jazz;116;940;-16.1;297049;18-01-2005;Rhythm and blues;;;;;;;;2005
Rainy Night In Georgia;Soul music;124;349;-13.2;297060;17-02-2009;Rhythm and blues;;;;;;;Cmaj;2009
Call Me A Mack;Rhythm and blues;91;246;-14.5;297060;29-06-1993;New jack swing;;;;;;;;1993
China In Your Hand;Pop music;142;245;-8.5;297061;29-05-2008;;;;;;;;;2008
Do You Really Want To Hurt Me;New wave music;106;289;-15.5;297253;17-12-2007;Blue-eyed soul;Reggae;;;;;;Gmaj;2007
That Just About Does It;Country music;102.1;239;-17.5;297278;31-08-1993;;;;;;;;Bbmin;1993
Caravan;Rhythm and blues;164;300;-14.5;297433;18-10-2013;;;;;;;;;2013
Muddy Water;Country music;130.8;234;-8.3;297531;24-11-2008;;;;;;;;Gmaj;2008
If;Soft rock;92;162;-12.2;297563;17-11-2006;Folk rock;;;;;;;;2006
Lifestyles Of The Not So Rich And Famous;Country music;138;172;-14.3;297573;14-07-2009;;;;;;;;B;2009
Bliss;Baroque pop;114;222;-11.7;297609;28-06-2005;Electronic music;Alternative rock;;;;;;;2005
Cleopatra;Alternative rock;118;191;-7.9;297630;0000-00-00;Power pop;;;;;;;;
Slave New World;Thrash metal;96;178;-7.4;297636;03-08-2011;Groove metal;;;;;;;Dmaj;2011
In The Garden;Celtic music;139.675;347;-13;297654;22-10-2007;Folk rock;Jazz;;;;;;;2007
How About You-April In Paris;Jazz;129;158;-19.1;297706;14-10-1997;;;;;;;;;1997
Call Me Irresponsible;;108;204;-14.9;297819;30-10-2006;;;;;;;;;2006
What About Now;Pop rock;162.1;250;-6.4;297942;23-10-2009;Alternative rock;;;;;;;;2009
Up The Country;Lo-fi music;116.1;367;-10.4;297999;19-06-2007;Indie rock;;;;;;;Cmaj;2007
It Had To Be You;Pop music;99.1457;178;-16.8;298137;20-09-2001;;;;;;;;;2001
I'll Be Seeing You;;143;176;;298137;30-10-2006;;;;;;;;;2006
Lost In The Stars;;99.1457;205;-14.8;298137;20-09-2001;;;;;;;;;2001
Bewitched Bothered And Bewildered;;74;154;;298137;16-04-2010;;;;;;;;;2010
Man That Got Away;;95;233;-18.5;298137;14-11-2016;;;;;;;;;2016
Ain't Misbehavin';Folk jazz;87;161;-15.4;298137;25-09-2007;Stride (music);Country music;Dixieland;;;;;;2007
Speak Low;;120;127;;298137;30-10-2006;;;;;;;;;2006
It Had To Be You;Pop music;110;194;-16.4;298137;25-09-2007;;;;;;;;;2007
Cold Cold Heart;Honky-tonk;99;163;-12;298137;30-10-2006;Country music;Blues;;;;;;;2006
Sing You Sinners;;88.9113;134;-15.9;298137;08-02-2017;;;;;;;;;2017
In The Middle Of An Island;;138.737;130;-14.3;298137;20-09-2001;;;;;;;;;2001
She;Rock music;168;121;-13.7;298218;04-06-2002;;;;;;;;;2002
Tommy James And The Shondells:She;Rock music;168;121;-13.7;298218;04-06-2002;;;;;;;;;2002
An Cat Dubh;Post-punk;113;286;-11.5;298298;21-07-2008;Rock music;;;;;;;;2008
She Moved Through The Fair;;127.212;284;-15.6;298368;28-08-2015;;;;;;;;;2015
Season Of The Witch;Acid rock;137;539;-16.5;298427;22-08-2006;Psychedelic rock;;;;;;;;2006
Cleaning Windows;Jazz;123.784;225;-11.7;298473;27-06-2008;Celtic music;;;;;;;;2008
Taking A Chance On Love;;152.56;130;-14.8;298512;20-09-2001;;;;;;;;;2001
Bedtime;Contemporary R&B;159;423;-13.6;298580;01-01-1999;;;;;;;;;1999
Gloria;Synthpop;131;262;-6.4;298591;01-05-1989;Pop music;Disco;Italo disco;Hi-NRG;Dance music;House music;;Emaj;1989
Gloria (Italiano);Synthpop;131;262;-6.4;298591;01-05-1989;Pop music;Disco;Italo disco;Hi-NRG;Dance music;House music;;Emaj;1989
Every Time We Say Goodbye;;78;189;-11.8;298618;25-09-2007;;;;;;;;;2007
The Greatest Man That Ever Lived (Variations On A Shaker Hymn);Power pop;152;352;-10.9;298619;23-06-2008;Alternative rock;Progressive rock;;;;;;;2008
Way Down Deep;Country music;98;165;-11.4;298749;14-08-1990;;;;;;;;Bmin;1990
Amazing;Pop music;97;168;-7.9;298913;19-05-2003;;;;;;;;;2003
This Old Man;;140;105;-16.1;298928;18-12-2006;;;;;;;;;2006
If The Good Die Young;Country music;156;147;-11.6;298943;10-07-2007;;;;;;;;Emin;2007
Whatever Will Be;Soft rock;136;227;-9.4;298979;01-04-2009;;;;;;;;;2009
I See It Now;Country music;91;216;-11.1;299020;10-07-2007;;;;;;;;Fmaj;2007
Lullaby Of Broadway;;103;140;-16.6;299110;14-10-1997;;;;;;;;;1997
Think Of You;Contemporary R&B;95;134;-15.3;299117;01-01-1999;Hip hop soul;;;;;;;;1999
Bury Me Alive;Gothic metal;119;286;-7.6;299151;02-02-2010;;;;;;;;;2010
Sommersprossen;Neue Deutsche Welle;137.812;241;-8.4;299165;20-04-2012;;;;;;;;;2012
Enrique Iglesias:Dirty Dancer;Electronic dance music;132;245;-8.6;299198;19-06-2011;Electro house;Dance-pop;;;;;;;2011
Enrique Iglesias & Usher:Dirty Dancer;Electronic dance music;132;245;-8.6;299198;19-06-2011;Electro house;Dance-pop;;;;;;;2011
We Wish You A Merry Christmas;;149;84;-7;299293;19-12-2008;;;;;;;;;2008
Everything About You;;124;253;-11;299371;16-07-2007;;;;;;;;Dbmaj;2007
Last Night On Earth;Alternative rock;116;285;-11.1;299379;03-03-1997;;;;;;;;;1997
Satellite Of Love;Alternative rock;99;240;-12.4;299379;14-07-2009;Glam rock;Art rock;;;;;;;2009
Draggin' The Line;Psychedelic rock;115;166;-13.7;299458;04-06-2002;Rock music;;;;;;;;2002
I'll Wait;;115;282;-9.2;299459;14-05-2007;;;;;;;;;2007
Watermelon Crawl;Country music;136.9;183;-14.2;299475;14-07-2009;;;;;;;;Dmin;2009
1000 Oceans;Electronic music;136;258;-13;299519;18-12-2006;Baroque pop;Alternative rock;;;;;;;2006
Slow Burnin' Memory;Country music;118;186;-13.9;299577;14-08-1990;;;;;;;;Bbmaj;1990
My Baby's Gone;Indie rock;175.2;355;-9.9;299606;24-09-2007;Lo-fi music;;;;;;;Bmaj;2007
Hard To Handle;Soul music;105;173;-14.4;299612;20-11-2007;;;;;;;;Amaj;2007
She's In Love With The Boy;Country music;124;245;-9.5;299631;15-01-2008;;;;;;;;Ebmaj;2008
I Wanna Be Around;;82;181;-10.1;299687;22-10-2012;;;;;;;;;2012
Raining Blood;Thrash metal;146;382;-9.6;299711;17-09-2001;;;;;;;;;2001
Get Silly;Snap music;149;228;-8.8;299797;11-12-2007;;;;;;;;;2007
Woki Mit Deim Popo;Hip hop music;120;177;-6.6;299846;05-12-2011;;;;;;;;;2011
Gloria;Synthpop;131;302;-18.7;299876;08-11-1988;Pop music;Disco;Italo disco;Hi-NRG;Dance music;House music;;Emaj;1988
Season Of The Witch;Acid rock;133;467;-15.5;299894;31-12-1991;Psychedelic rock;;;;;;;;1991
Rainbow Connection;;104;240;-10.1;299924;23-08-2011;;;;;;;;;2011
Anna;Rocksong;147;210;-11.3;299959;21-02-2000;;;;;;;;;2000
The Rose;Pop music;128;220;-11.7;299964;13-11-2006;Celtic rock;Adult contemporary music;Country music;;;;;;2006
Won't Get Fooled Again;Hard rock;136;341;-10.8;300040;23-02-1993;;;;;;;;;1993
She's Not There;Pop rock;100;298;-17.2;300049;23-08-2005;Beat music;Jazz fusion;;;;;;;2005
Easy;Soul music;130;266;-9.7;300419;13-11-2006;Pop music;;;;;;;;2006
Blues In The Night;;84;212;-16.3;300504;04-09-2006;;;;;;;;;2006
A Celebration;Post-punk;150;177;-11.5;300653;21-07-2008;Rock music;;;;;;;;2008
Immigrant Song;Viking metal;109.1;200;-6.8;300713;31-08-2009;Hard rock;;;;;;;;2009
Gloria;Rock music;144;252;-11.3;300778;21-07-2008;Post-punk;;;;;;;;2008
Today My World Slipped Away;Country music;142.1;185;-19.2;300780;01-01-2008;;;;;;;;Cmaj;2008
Chicago (That Toddling Town);;118.8;124;-10.8;300882;01-01-1999;;;;;;;;;1999
Seems Like Home To Me;Lo-fi music;114.8;227;-8.1;301020;19-06-2007;Indie rock;;;;;;;Bmin;2007
September Song;;131.2;231;-12.9;301031;24-09-2001;;;;;;;;;2001
Great Is Thy Faithfulness;;160.2;221;-10.6;301048;03-08-2004;;;;;;;;;2004
Big Log;Blues rock;164;305;-15.5;301108;03-02-2004;;;;;;;;Gmaj;2004
He's A Whore;Hard rock;159;169;-5.9;301241;04-06-2010;Power pop;;;;;;;Amin;2010
Who Can I Turn To (When Nobody Needs Me);;143;231;-12.4;301327;22-10-2012;;;;;;;;;2012
Humans Being;Hard rock;124;307;-9;301387;07-05-1996;;;;;;;;;1996
Mony Mony;New wave music;129;174;-14.2;301561;08-02-2005;Power pop;Hard rock;Rock music;;;;;;2005
Tommy James And The Shondells:Mony Mony;New wave music;129;174;-14.2;301561;08-02-2005;Power pop;Hard rock;Rock music;;;;;;2005
Tattoo;Hard rock;103;272;-9.2;301589;27-03-2015;;;;;;;;;2015
Without You;Hard rock;96;390;-9.6;301725;17-03-1998;;;;;;;;;1998
The Fly;Industrial rock;108;275;-9.4;301778;31-10-2002;Alternative rock;Alternative dance;;;;;;;2002
Who Can I Turn To (When Nobody Needs Me);;102.1;175;-14.5;301788;30-10-2006;;;;;;;;;2006
Big Wheel;Alternative rock;94;198;-12.5;301795;26-04-2007;Pop rock;;;;;;;;2007
Lover's Day;Art rock;119.8;354;-9.3;301801;21-09-2008;Alternative rock;Indie rock;;;;;;;2008
Hole In My Shoe;Psychedelic pop;101;169;-9.7;301867;19-11-2007;;;;;;;;Gmaj;2007
Fortunate Son;Hard rock;137;159;-10.9;301880;14-07-2009;Rock and roll;;;;;;;;2009
These Dreams Of You;Country rock;122;242;-13.7;301904;18-10-2013;Rhythm and blues;;;;;;;;2013
Como Una Paloma Herida;Pop music;124.9;152;-9.7;301959;12-08-2003;;;;;;;;;2003
The Way You Look Tonight;Traditional pop music;110.2;246;-12.3;301966;10-12-2005;;;;;;;;;2005
Ti Amo;Adult contemporary music;106;238;-23.2;301975;06-09-2005;Pop music;;;;;;;Cmaj;2005
Panama;Hard rock;140;212;-8.4;302112;14-05-2007;Glam metal;;;;;;;;2007
Swing;Country music;107;216;-8.3;302182;15-08-2006;;;;;;;;;2006
Cul De Sac;Folk rock;94.6081;173;-14.2;302200;30-06-2008;;;;;;;;;2008
Right Now;Hard rock;187;322;-8;302222;14-05-2007;;;;;;;;;2007
Butterfly Kisses;Country music;82;275;-10.8;302288;17-11-2006;;;;;;;;;2006
God;Alternative rock;151;232;-9.7;302322;17-11-2003;;;;;;;;;2003
Taking A Chance On Love;;174.4;115;-11.4;302576;04-09-2006;;;;;;;;;2006
Hole In My Shoe;Psychedelic pop;101;181;-12.8;302596;25-10-1999;;;;;;;;;1999
Miss Sun;;100.1;304;-12.5;302800;08-12-1998;;;;;;;;;1998
Ain't No Sunshine;Rhythm and blues;111.1;141;-11.4;302838;01-01-2005;Blues;Soul music;;;;;;Amin;2005
Cornflake Girl;Alternative rock;133;391;-13.8;302854;01-01-1999;Baroque pop;;;;;;;;1999
Tony Bennett & K.d. Lang:Dream A Little Dream Of Me;;81;233;-13.8;302860;01-03-2004;;;;;;;;Amin;2004
Fly On The Wings Of Love;;140;239;-8.9;303094;18-11-2002;;;;;;;;;2002
Happiness Is A Warm Gun;Hard rock;136;595;-10.6;303138;17-09-2001;Progressive rock;Blues rock;;;;;;;2001
Demais;Pop music;89.7;221;-13.8;303140;;;;;;;;;;
Lonely Girl;Power pop;133;169;-6.9;303140;03-10-2014;Alternative rock;;;;;;;;2014
Stranger In Paradise;;84;183;-11.6;303142;10-12-2007;;;;;;;;;2007
Day Tripper;Rock music;107;422;-9;303219;13-09-1999;;;;;;;;B;1999
Top Of The World;Hard rock;128;234;-7.1;303297;14-05-2007;;;;;;;;;2007
Pitbull:Go Girl;Feminism;114.8;230;-9.3;303315;27-11-2007;Crunk;Electronic music;Hip house;;;;;;2007
Slim Slow Slider;Folk rock;134;197;-22.8;303534;01-11-1968;;;;;;;;;1968
This Ain't My First Rodeo;Country music;166;184;-16.6;303616;31-08-1993;;;;;;;;Bbmin;1993
Sonderzug Nach Pankow;;164;219;-7.4;303700;29-09-2003;;;;;;;;Fmaj;2003
Today's Lonely Fool;Country music;160;229;-10.9;303710;10-07-2007;;;;;;;;Dmaj;2007
Back Street Affair;;126;167;-15.4;303736;26-02-2016;;;;;;;;;2016
Slowly;;116;149;-16;303736;26-02-2016;;;;;;;;;2016
More And More;;116;128;-14.7;303736;26-02-2016;;;;;;;;;2016
In The Jailhouse Now;Country music;157;129;-13.9;303736;14-04-2008;;;;;;;;Dmaj;2008
Little Guitars;Hard rock;148;227;-7.6;303762;14-04-1982;;;;;;;;;1982
Midnight Special;;109.7;171;-14;303855;01-01-1991;;;;;;;;;1991
And The Healing Has Begun;Celtic music;131.25;482;-12.6;303929;28-01-2008;Pop rock;Folk rock;;;;;;;2008
The Way You Look Tonight;Traditional pop music;120;242;-12.5;304036;22-10-2012;;;;;;;;;2012
Ti Amo;Adult contemporary music;92.1;269;-9;304092;06-02-2009;Pop music;;;;;;;Amaj;2009
Steppin' Out With My Baby;Jazz;170.1;173;-16.7;304118;05-10-1993;;;;;;;;;1993
Come Running;;195;151;-13.1;304123;18-10-2013;;;;;;;;;2013
Your Love;Pop rock;140;190;-10.1;304139;31-01-2007;Power pop;;;;;;;;2007
I Wanna Rock;Heavy metal music;106;185;-6.4;304224;05-12-2006;Glam metal;;;;;;;A;2006
Raglan Road;Music of Ireland;122.682;296;-14.3;304334;28-08-2015;Folk music;;;;;;;;2015
Astronomy Domine;Psychedelic rock;168;347;-9.3;304349;25-08-2000;Space rock;;;;;;;Emaj;2000
A Nightingale Sang In Berkeley Square;;93;235;-18.3;304496;17-05-2004;;;;;;;;;2004
Gloria;Synthpop;130;299;-10.4;304763;02-03-2001;Pop music;Disco;Italo disco;Hi-NRG;Dance music;House music;;Emaj;2001
Don't Make Me Come To Vegas;Dance music;97;291;-9.1;304766;01-01-2001;;;;;;;;;2001
Black And Blue;Rock music;99;327;-8.2;304868;14-05-2007;Hard rock;;;;;;;;2007
And The Cradle Will Rock...;Hard rock;113;224;-8.7;304906;27-03-2015;;;;;;;;;2015
You Were On My Mind;Pop rock;142;155;-12;305011;23-02-2010;;;;;;;;;2010
My Favorite Things;;139;197;-13.1;305148;30-10-2006;;;;;;;;;2006
So This Is Love?;Hard rock;159;185;-9;305315;18-09-2009;Heavy metal music;;;;;;;;2009
Could You Be Loved;Rock music;103.4;230;-10.4;305381;03-03-2003;Disco;Reggae;;;;;;;2003
Put Your Hand In Mine;Country music;146.1;272;-11.9;305404;02-11-1999;;;;;;;;Fmaj;1999
While My Guitar Gently Weeps;Rock music;109.086;345;-11.3;305495;11-06-2009;;;;;;;;;2009
I Got You Babe;Heavy metal music;173;188;-9.3;305495;26-10-1987;Pop music;Baroque pop;Synthpop;Reggae;Rock music;Dub (music);;;1987
Turn! Turn! Turn! (To Everything There Is A Season);Folk rock;120.2;185;-17;305558;01-01-2008;;;;;;;;Dbmaj;2008
I Do!!;Contemporary R&B;99;288;-9.8;305572;09-07-2001;;;;;;;;;2001
How Long Has This Been Going On?;Jazz;73.8281;229;-14.5;305712;28-08-2015;;;;;;;;;2015
Built To Fall;Heavy metal music;144;188;-6.9;305741;03-08-2011;;;;;;;;Dbmin;2011
Street Of Dreams;Jazz;91;133;;305814;10-02-2010;;;;;;;;;2010
Runnin' Behind;Country music;144;174;-12.3;305827;29-10-1991;;;;;;;;Emaj;1991
Entrance Of The Conflagration;Thrash metal;99;275;-6.7;305846;01-01-2006;Speed metal;;;;;;;Emin;2006
Mystery Train;Rockabilly;108.23;235;-9.5;305857;16-01-2009;Memphis blues;Blues;Electric blues;;;;;;2009
If I Ruled The World;;124;180;-12.1;305900;30-10-2006;;;;;;;;;2006
Take On Me;New wave music;140;285;-7.4;305910;24-09-2010;Ska punk;Dance-pop;Synthpop;;;;;;2010
I Got Erection;Heavy metal music;147;126;-11.2;305928;05-06-2007;Punk rock;Hard rock;Rock music;;;;;Bmin;2007
Staring At The Sun;Indie rock;119;205;-10;305953;28-06-2004;;;;;;;;;2004
Mr. Mysterious;Pop rock;119;240;-6.3;306021;06-11-2009;Electropop;Dance-pop;;;;;;Fmaj;2009
Love Walks In;Rock music;176;314;-12.2;306088;23-02-1993;;;;;;;;;1993
Numb;;124;225;-8.5;306217;08-06-2012;;;;;;;;;2012
Romeo Delight;Heavy metal music;106;259;-10.2;306217;18-09-2009;;;;;;;;;2009
When It's Love;Sentimental ballad;99;338;-8.4;306217;14-05-2007;;;;;;;;;2007
Mack The Knife;Jazz;166;188;-9.3;306236;08-11-2004;Pop music;;;;;;;;2004
Angie;Soft rock;135.6;265;-17.2;306285;01-03-2009;;;;;;;;;2009
Because Of You;;108.2;177;-10.5;306346;30-10-2006;;;;;;;;;2006
Irish Heartbeat;Celtic music;174.446;231;-12.3;306364;22-10-2007;;;;;;;;;2007
Dreams;Art rock;129.6;309;-9.8;306450;07-06-2004;;;;;;;;;2004
Winter Wonderland;Pop music;126;149;-11.3;306457;17-11-2008;Christmas music;;;;;;;;2008
New York State Of Mind;Pop rock;170;269;-13.8;306479;04-09-2006;;;;;;;;;2006
Honeysuckle Rose;Jazz;104;175;-18;306563;30-10-1995;;;;;;;;;1995
Please Come Home For Christmas;Rhythm and blues;121.243;122;-5.4;306594;30-10-2015;Christmas music;Blues;Pop music;Rock music;;;;;2015
Total Eclipse Of The Heart;Hi-NRG;131.7;279;-9.1;306617;13-11-2006;;;;;;;;;2006
Little Walter;Contemporary R&B;107;289;-10.2;306639;14-08-2001;;;;;;;;;2001
Wrong Side Of Memphis;Country music;141;167;-11.2;306641;11-09-2007;;;;;;;;Dmaj;2007
Star Of The County Down;;181;162;-13.3;306645;28-08-2015;;;;;;;;;2015
White Houses;Piano;135;224;-10.2;306677;09-11-2004;;;;;;;;Cmin;2004
Carrying A Torch;Folk rock;144.1;293;-11.7;306715;13-03-2015;;;;;;;;;2015
Georgia Rain;Country music;99;311;-9.5;306737;12-05-2008;;;;;;;;Bbmaj;2008
Hi-Heel Sneakers;Blues;168;169;-13.2;306788;12-09-2005;;;;;;;;;2005
Queen Of My Heart;Pop music;109;259;-9;306836;12-11-2001;;;;;;;;;2001
Vanlose Stairway;Celtic music;112.961;252;-14.4;306897;22-10-2007;;;;;;;;;2007
The Keeper Of The Stars;Country music;78;247;-15.9;306992;21-06-2002;;;;;;;;Dmaj;2002
