title;genres;bpm;length;gain;rank;publicationDate;genres_1;genres_2;genres_3;genres_4;genres_5;genres_6;genres_7;key;year
This Is All I Ask;;112;193;-15.3;172315;30-10-2006;;;;;;;;;2006
Have A Look;Pop rock;189.7;218;-9.7;174207;01-01-2000;;;;;;;;Amaj;2000
Tenderly;;130;225;;174385;30-10-1995;;;;;;;;;1995
Days Of Wine And Roses;Easy listening;100;176;-18.5;174467;18-08-1997;;;;;;;;;1997
These Foolish Things (Remind Me Of You);Twelve-bar blues;91;262;-18.5;175105;04-02-1997;Traditional pop music;Rhythm and blues;;;;;;;1997
All Or Nothing;;120;269;-10.7;175256;12-05-2014;;;;;;;;;2014
Wave;;113.9;277;-18.3;175327;29-08-1995;;;;;;;;;1995
Waltz For Debby;Jazz;142.6;219;-17.9;176080;29-08-1995;;;;;;;;;1995
First Of May;Folk music;136;321;-14.1;176368;01-01-2003;Easy listening;;;;;;;;2003
Leaving On A Jet Plane;Folk music;140;191;-13.1;176505;01-03-2002;;;;;;;;Emaj;2002
I Only Have Eyes For You;Traditional pop music;129.2;156;-12.6;176505;16-11-2012;Soft rock;Doo-wop;;;;;;;2012
Pennies From Heaven;;142;136;-18;176912;14-10-1997;;;;;;;;;1997
Amazing;Pop rock;113.9;214;-6.7;178054;01-01-2011;;;;;;;;Emaj;2011
Red Red Wine;Reggae fusion;82;191;;178176;19-03-2010;Soft rock;Pop music;;;;;;Emaj;2010
Speak Low;;135;121;-21.4;178274;14-10-1997;;;;;;;;;1997
Solitude;Jazz;89;176;-18.7;178274;04-02-1997;;;;;;;;;1997
Cast Your Fate To The Wind;Jazz fusion;140;116;-13.9;178436;23-02-2010;;;;;;;;;2010
The Trolley Song;;137;154;-13.3;182602;18-08-1997;;;;;;;;;1997
Shangri-La;;99;126;-11.6;182716;19-03-2010;;;;;;;;Amaj;2010
Astronomy Domine;Psychedelic rock;129.604;330;-13.6;183270;0000-00-00;Space rock;;;;;;;;
Love Is Here To Stay;;163.4;163;-14;184871;16-11-2012;;;;;;;;;2012
There Will Never Be Another You;;91.1;114;-10.5;184871;16-11-2012;;;;;;;;;2012
When A Woman Loves A Man;Jazz;151;191;-18;186081;04-02-1997;;;;;;;;;1997
Hot Tottie;Contemporary R&B;175.2;299;-6.9;186081;20-09-2010;Hip hop music;;;;;;;;2010
Away In A Manger;;150;157;-15.6;187648;27-08-2007;;;;;;;;Cmaj;2007
New Year's Day;Electronic dance music;126.8;398;-7.3;188738;15-03-2011;Post-punk;Rock music;;;;;;;2011
Good Lovin';Blue-eyed soul;105;143;;190824;08-02-2005;Rhythm and blues;;;;;;;;2005
I Wished On The Moon;Jazz;122;188;-16.7;190836;30-10-2006;;;;;;;;;2006
Wishin' And Hopin';Pop music;107;174;-12.8;191828;06-05-2003;;;;;;;;Amaj;2003
Slave To Love;Soft rock;152;236;-13.9;192176;28-02-2005;;;;;;;;;2005
Rags To Riches;;135;72;-20.3;193648;14-10-1997;;;;;;;;;1997
Making Memories Of Us;Country music;107;224;-10.2;193648;02-08-2003;;;;;;;;Gbmaj;2003
The Ballad Of Ronnie Drew;Folk music of Ireland;184;290;-10.2;195102;22-02-2008;Rock music;;;;;;;;2008
You Go To My Head;Jazz;107;226;-16.9;195496;30-10-2006;;;;;;;;;2006
I Ain't Never;Country music;118.8;119;-13.9;197769;01-07-2009;;;;;;;;Bmaj;2009
Sentimental Journey;;76;208;;198039;30-10-1995;;;;;;;;;1995
God Bless The Child;Jazz;76;169;;199362;30-10-1995;;;;;;;;;1995
Living On A Prayer;Glam metal;136;255;-9.2;203262;29-05-2008;Hard rock;;;;;;;;2008
Walk On By;Pop music;171;299;-15.4;203662;22-08-2006;Soul music;Funk;;;;;;;2006
Make It Easy On Yourself;Rhythm and blues;123.4;272;-17.8;205304;29-08-1995;Pop music;;;;;;;;1995
Save A Prayer;New wave music;106;307;-13.4;205499;01-01-2003;Synthpop;;;;;;;;2003
Poor Butterfly;;142;341;;205538;30-10-1995;;;;;;;;;1995
You Go To My Head;Jazz;115.485;160;-18.1;206859;14-10-1997;;;;;;;;;1997
East Of The Sun (West Of The Moon);;92;251;-14.6;207095;30-10-2006;;;;;;;;;2006
Fallen Angel;;133;299;-12.2;207744;28-02-1995;;;;;;;;Bmin;1995
I Only Have Eyes For You;Traditional pop music;105.738;133;-16.8;207926;14-10-1997;Soft rock;Doo-wop;;;;;;;1997
Let's Face The Music And Dance;Jazz;91.4685;167;-16.8;208026;14-10-1997;;;;;;;;;1997
You Can Leave Your Hat On;Rock music;87.8;279;-11.6;208905;20-10-1999;;;;;;;;;1999
A Fine Fine Day;Rock music;112.961;265;-13.4;209476;13-05-2008;;;;;;;;Fmin;2008
Angel Eyes;;93;162;-15.6;210213;30-10-2006;;;;;;;;;2006
I'm Still Crazy;Country music;187.9;166;-17.1;212170;31-08-1993;;;;;;;;Dmin;1993
Cheek To Cheek;;134;205;-19.6;212190;10-11-1987;;;;;;;;;1987
People;;80;282;-14;212327;30-10-1995;;;;;;;;;1995
Silent Night;;82;127;-14.9;212393;26-04-2005;;;;;;;;;2005
Love For Sale;;131.2;188;-16.7;213947;14-10-1997;;;;;;;;;1997
Dream Of Me;Country music;175.2;167;-19.8;213992;01-01-2008;;;;;;;;Amaj;2008
Smile;;116;83;-17.9;214288;14-10-1997;;;;;;;;;1997
Out Of This World;;92;271;-16.9;215634;15-06-2004;;;;;;;;;2004
Walk On;Rock music;99.9;270;-7.6;215836;14-07-2009;;;;;;;;;2009
1979;Alternative rock;135.1;237;-11;218430;18-01-2006;;;;;;;;;2006
We're Going To Ibiza;Reggae fusion;103.9;216;-9.7;218447;01-01-2010;Eurodance;;;;;;;;2010
Taking A Chance On Love;;107;92;-16.8;218471;14-10-1997;;;;;;;;;1997
I Can't Make You Love Me;Pop music;123.8;288;-17.3;219216;01-01-2003;Adult contemporary music;Electropop;Contemporary R&B;Electronic dance music;;;;;2003
The First Cut Is The Deepest;Rock music;94.6;216;-13;220131;01-01-2003;;;;;;;;;2003
Don't Want No Woman Who Stays Out All Night Long;Lo-fi music;162.8;158;-9.9;220131;26-06-2007;Indie rock;;;;;;;Dmin;2007
Blues In The Night;;99.6235;170;-18.5;220821;14-10-1997;;;;;;;;;1997
Begin The Beguine;Jazz;118.463;261;-18.8;220821;14-10-1997;;;;;;;;;1997
Clementine;;153;197;-10.5;222213;08-11-2004;;;;;;;;;2004
Joyful Joyful;;110;274;-14.6;223435;24-10-2008;;;;;;;;G;2008
The Long And Winding Road;Pop music;132.9;283;-15.9;223460;29-08-1995;;;;;;;;;1995
When I Fall In Love;Pop music;76;188;-12.3;223693;08-11-2004;Traditional pop music;;;;;;;;2004
Lullaby Of Broadway;;180.5;144;-16.9;224358;14-10-1997;;;;;;;;;1997
Summer Wind;;88;177;-11;225731;08-11-2004;;;;;;;;;2004
Good Kisser;Contemporary R&B;97;236;-10;227200;17-10-2014;;;;;;;;;2014
Everything I Want;;98;180;-11.7;227211;07-06-2011;;;;;;;;;2011
The Very Thought Of You;;81;270;;227308;25-09-2007;;;;;;;;;2007
Chiseled In Stone;Country music;140.6;230;-17.3;227358;31-08-1993;;;;;;;;Ebmaj;1993
Steppin' Out With My Baby;Jazz;76;195;;227905;11-10-1999;;;;;;;;;1999
Bill Haley And His Comets:Shake Rattle And Roll;Rockabilly;167.4;152;-14.6;228612;23-10-2007;Rhythm and blues;Rock and roll;;;;;;;2007
Top Hat White Tie And Tails;Jazz;93.5;155;-16.1;228942;05-10-1993;;;;;;;;;1993
Amami Se Vuoi;;87.8;209;-10.8;229533;30-06-2011;;;;;;;;;2011
But Beautiful;;98;244;-13;230294;19-09-2014;;;;;;;;;2014
Sing You Sinners;;105;121;-18.1;231434;14-10-1997;;;;;;;;;1997
Sheila;Pop music;130.8;127;-13.6;233045;01-01-2003;Rockabilly;Music of Lubbock;Texas;;;;;Emin;2003
Dizzy;Bubblegum pop;101.6;172;-10.8;233711;01-07-2008;;;;;;;;Emin;2008
More And More;;113.6;147;-14.9;235354;12-06-2006;;;;;;;;Gbmin;2006
Right In The Wrong Direction;Country music;168.8;134;-16.9;235608;31-08-1993;;;;;;;;Dbmin;1993
Mary J. Blige:Each Tear;;92;255;-8.6;236638;18-12-2009;;;;;;;;Bmin;2009
Solitaire;Pop music;147;307;-10.8;237200;17-11-2006;;;;;;;;;2006
Who You Gonna Blame It On This Time;Country music;170.1;170;-17.7;237778;31-08-1993;;;;;;;;Dmin;1993
BT:Blue Skies;Dance music;126;306;-8.7;238132;12-11-1996;;;;;;;;;1996
Let There Be Love;;173.7;123;-16.4;239522;14-10-1997;;;;;;;;;1997
Little Altar Boy;;122;197;-15;239809;19-03-2010;;;;;;;;Ebmin;2010
Dappens;Lo-fi music;185.4;387;-15.5;239857;26-06-2007;Indie rock;;;;;;;Fmaj;2007
Beggin' On Your Knees;Dance-pop;130;194;-6.7;240363;20-02-2015;Teen pop;Electronic rock;;;;;;;2015
I Can Understand It;;120.2;340;-14.6;241150;01-01-2009;;;;;;;;;2009
What Child Is This;;122;232;-13.5;241670;05-11-1996;;;;;;;;;1996
Polk Salad Annie;;150.9;309;-11.8;243051;07-03-2012;;;;;;;;Bmin;2012
Once Upon A Time;;152.6;178;-15.5;243221;0000-00-00;;;;;;;;;
Everybody Knows;Country music;98;194;-10.2;244624;11-09-2007;;;;;;;;E;2007
Sweet Lorraine;;74.6;222;-15;245123;21-11-2011;;;;;;;;;2011
Dim Lights Thick Smoke (And Loud Loud Music);Country music;142.6;211;-16.3;245697;01-01-2008;;;;;;;;Emaj;2008
Cool On Your Island;Synthpop;126.8;321;-19.4;245969;27-09-2005;;;;;;;;;2005
Something Right;Pop music;187.9;192;-7.7;246740;02-11-2007;Contemporary R&B;;;;;;;;2007
I Don't Care;Country music;154.3;146;-12.2;248031;01-01-2001;;;;;;;;Gmaj;2001
